time,sepal length,sepal width,petal length,petal width,class
2019-03-06,5.6,2.9,3.6,1.3,Iris-versicolor
2019-03-07,6.7,3.1,4.4,1.4,Iris-versicolor
2019-03-08,5.6,3,4.5,1.5,Iris-versicolor
2019-03-09,5.8,2.7,4.1,1,Iris-versicolor
2019-03-10,6.2,2.2,4.5,1.5,Iris-versicolor
2019-03-11,5.6,2.5,3.9,1.1,Iris-versicolor
2019-03-12,5.9,3.2,4.8,1.8,Iris-versicolor
2019-03-13,6.1,2.8,4,1.3,Iris-versicolor
2019-03-14,6.3,2.5,4.9,1.5,Iris-versicolor
2019-03-15,6.1,2.8,4.7,1.2,Iris-versicolor
2019-03-16,6.4,2.9,4.3,1.3,Iris-versicolor
2019-03-17,6.6,3,4.4,1.4,Iris-versicolor
2019-03-18,6.8,2.8,4.8,1.4,Iris-versicolor
2019-03-19,6.7,3,5,1.7,Iris-versicolor
2019-03-20,6,2.9,4.5,1.5,Iris-versicolor
2019-03-21,5.7,2.6,3.5,1,Iris-versicolor
2019-03-22,5.5,2.4,3.8,1.1,Iris-versicolor
2019-03-23,5.5,2.4,3.7,1,Iris-versicolor
2019-03-24,5.8,2.7,3.9,1.2,Iris-versicolor
2019-03-25,6,2.7,5.1,1.6,Iris-versicolor
2019-03-26,5.4,3,4.5,1.5,Iris-versicolor
2019-03-27,6,3.4,4.5,1.6,Iris-versicolor
2019-03-28,6.7,3.1,4.7,1.5,Iris-versicolor
2019-03-29,6.3,2.3,4.4,1.3,Iris-versicolor
2019-03-30,5.6,3,4.1,1.3,Iris-versicolor
2019-03-31,5.5,2.5,4,1.3,Iris-versicolor
2019-04-01,5.5,2.6,4.4,1.2,Iris-versicolor
2019-04-02,6.1,3,4.6,1.4,Iris-versicolor
2019-04-03,5.8,2.6,4,1.2,Iris-versicolor
2019-04-04,5,2.3,3.3,1,Iris-versicolor
2019-04-05,5.6,2.7,4.2,1.3,Iris-versicolor
2019-04-06,5.7,3,4.2,1.2,Iris-versicolor
2019-04-07,5.7,2.9,4.2,1.3,Iris-versicolor
2019-04-08,6.2,2.9,4.3,1.3,Iris-versicolor
2019-04-09,5.1,2.5,3,1.1,Iris-versicolor
2019-04-10,5.7,2.8,4.1,1.3,Iris-versicolor
2019-04-11,6.3,3.3,6,2.5,Iris-virginica
2019-04-12,5.8,2.7,5.1,1.9,Iris-virginica
2019-04-13,7.1,3,5.9,2.1,Iris-virginica
2019-04-14,6.3,2.9,5.6,1.8,Iris-virginica
2019-04-15,6.5,3,5.8,2.2,Iris-virginica
2019-04-16,7.6,3,6.6,2.1,Iris-virginica
2019-04-17,4.9,2.5,4.5,1.7,Iris-virginica
2019-04-18,7.3,2.9,6.3,1.8,Iris-virginica
2019-04-19,6.7,2.5,5.8,1.8,Iris-virginica
2019-04-20,7.2,3.6,6.1,2.5,Iris-virginica
2019-04-21,6.5,3.2,5.1,2,Iris-virginica
2019-04-22,6.4,2.7,5.3,1.9,Iris-virginica
2019-04-23,6.8,3,5.5,2.1,Iris-virginica
2019-04-24,5.7,2.5,5,2,Iris-virginica
2019-04-25,5.8,2.8,5.1,2.4,Iris-virginica
2019-04-26,6.4,3.2,5.3,2.3,Iris-virginica
2019-04-27,6.5,3,5.5,1.8,Iris-virginica
2019-04-28,7.7,3.8,6.7,2.2,Iris-virginica
2019-04-29,7.7,2.6,6.9,2.3,Iris-virginica
2019-04-30,6,2.2,5,1.5,Iris-virginica
2019-05-01,6.9,3.2,5.7,2.3,Iris-virginica
2019-05-02,5.6,2.8,4.9,2,Iris-virginica
2019-05-03,7.7,2.8,6.7,2,Iris-virginica
2019-05-04,6.3,2.7,4.9,1.8,Iris-virginica
2019-05-05,6.7,3.3,5.7,2.1,Iris-virginica
2019-05-06,7.2,3.2,6,1.8,Iris-virginica
2019-05-07,6.2,2.8,4.8,1.8,Iris-virginica
2019-05-08,6.1,3,4.9,1.8,Iris-virginica
2019-05-09,6.4,2.8,5.6,2.1,Iris-virginica
2019-05-10,7.2,3,5.8,1.6,Iris-virginica
2019-05-11,7.4,2.8,6.1,1.9,Iris-virginica
2019-05-12,7.9,3.8,6.4,2,Iris-virginica
2019-05-13,6.4,2.8,5.6,2.2,Iris-virginica
2019-05-14,6.3,2.8,5.1,1.5,Iris-virginica
2019-05-15,6.1,2.6,5.6,1.4,Iris-virginica
2019-05-16,7.7,3,6.1,2.3,Iris-virginica
2019-05-17,6.3,3.4,5.6,2.4,Iris-virginica
2019-05-18,6.4,3.1,5.5,1.8,Iris-virginica
2019-05-19,6,3,4.8,1.8,Iris-virginica
2019-05-20,6.9,3.1,5.4,2.1,Iris-virginica
2019-05-21,6.7,3.1,5.6,2.4,Iris-virginica
2019-05-22,6.9,3.1,5.1,2.3,Iris-virginica
2019-05-23,5.8,2.7,5.1,1.9,Iris-virginica
2019-05-24,6.8,3.2,5.9,2.3,Iris-virginica
2019-05-25,6.7,3.3,5.7,2.5,Iris-virginica
2019-05-26,6.7,3,5.2,2.3,Iris-virginica
2019-05-27,6.3,2.5,5,1.9,Iris-virginica
2019-05-28,6.5,3,5.2,2,Iris-virginica
2019-05-29,6.2,3.4,5.4,2.3,Iris-virginica
2019-05-30,5.9,3,5.1,1.8,Iris-virginica
